outcome,fyear,cross_2010_all_vars_pred,cross_2018_age_sex_pred,cross_2018_all_vars_pred,panel_all_vars_log_pred,panel_all_vars_pred
apc_spell_cost_elective,2013,0.901571798,0.940990188,0.903692127,0.898802362,0.879032063
apc_spell_cost_elective,2014,0.923018956,0.953047788,0.925857249,0.922011794,0.905330089
apc_spell_cost_elective,2015,0.947897282,0.964198566,0.949075306,0.94688336,0.933769784
apc_spell_cost_elective,2016,0.970641498,0.976278206,0.97109476,0.969891621,0.960785536
apc_spell_cost_elective,2017,0.98683885,0.988650208,0.987115531,0.986552437,0.981853961
apc_spell_cost_elective,2018,1,1,1,1,1
apc_spell_cost_elective,2019,1.012664113,1.011018616,1.01239426,1.012900323,1.017832491
apc_spell_cost_elective,2020,1.024752214,1.019183543,1.024131066,1.025165059,1.03521449
apc_spell_cost_elective,2021,1.047379834,1.031978802,1.046188554,1.047911027,1.063353599
apc_spell_cost_elective,2022,1.063819545,1.044095662,1.062268099,1.064455415,1.085616739
apc_spell_cost_elective,2023,1.072020207,1.048043469,1.070096277,1.072657099,1.099076949
apc_spell_cost_elective,2024,1.086404626,1.05872025,1.08428375,1.087156309,1.119615362
apc_spell_cost_elective,2025,1.099796315,1.068265079,1.097359533,1.100617316,1.139310334
apc_spell_cost_elective,2026,1.112629626,1.077381819,1.10998187,1.113560373,1.158671328
apc_spell_cost_elective,2027,1.122901141,1.085306126,1.120238397,1.123986795,1.175599223
apc_spell_cost_elective,2028,1.133133251,1.09284665,1.130470501,1.13437826,1.192643072
apc_spell_cost_elective,2029,1.143872627,1.100515927,1.141088735,1.145201539,1.21028933
apc_spell_cost_elective,2030,1.155316602,1.108568017,1.152493103,1.156724518,1.228847976
apc_spell_cost_elective,2031,1.167176541,1.117548367,1.164344761,1.168638061,1.247996944
apc_spell_cost_elective,2032,1.178025172,1.125562576,1.175354349,1.179634841,1.266357794
apc_spell_cost_elective,2033,1.187787952,1.132648063,1.18537189,1.189604642,1.283811954
apc_spell_cost_elective,2034,1.197303316,1.139072965,1.195186019,1.199301454,1.301124357
apc_spell_cost_elective,2035,1.206984331,1.145553147,1.205152869,1.209131141,1.318744497
apc_spell_cost_elective,2036,1.216769082,1.152082729,1.215173772,1.218988308,1.336564485
apc_spell_cost_elective,2037,1.223481494,1.156230513,1.222341282,1.225953575,1.351456645
apc_spell_cost_elective,2038,1.231502345,1.161254407,1.230585913,1.234049024,1.367639168
apc_spell_cost_elective,2039,1.240483986,1.167596444,1.239696218,1.243057416,1.384988052
