fyear,real_gdp,real_receipts,pop
2018-19,2205.3,990.1610863,55924.528
2019-20,2224.4,984.7496753,56230.056
2020-21,1966.2,894.0192933,56325.961
2021-22,2234.3,1047.124919,56554.891
2022-23,2272.8,1096.054114,57106.398
2023-24,2277.3,1102.18898,57699.579
2024-25,2303.8,1130.037872,58295.056
2025-26,2348.2,1149.316825,58830.915
2026-27,2394.8,1175.239935,59302.265
2027-28,2437.5,1201.708547,59706.947
2028-29,2478.6,1225.009897,60043.862
2029-30,2523.2148,1219.614236,60373.209
2030-31,2571.155881,1239.568531,60695.012
2031-32,2617.436687,1259.152721,61009.244
2032-33,2664.550547,1278.654926,61316.285
2033-34,2712.512457,1301.428655,61616.232
2034-35,2761.337682,1320.946104,61909.299
2035-36,2808.280422,1343.901171,62195.992
2036-37,2861.63775,1365.56801,62477.815
2037-38,2913.14723,1387.202249,62756.474
2038-39,2965.58388,1412.177162,63032.658
2039-40,3018.96439,1433.530101,63306.852
2040-41,3070.286784,1458.31535,63579.33
