"","fyear","type","measure","models","modelled_growth","baseline","deflator"
"1",2018,"ae","cost","constant",100,3511161918,2.10944864985953
"2",2018,"ae","cost","changing",100,3511161918,2.10944864985953
"3",2018,"ae","cost","log",100,3511161918,2.10944864985953
"4",2018,"elective","cost","constant",100,10363552520,2.10944864985953
"5",2018,"elective","cost","changing",100,10363552520,2.10944864985953
"6",2018,"elective","cost","log",100,10363552520,2.10944864985953
"7",2018,"emergency","cost","constant",100,16735761400,2.10944864985953
"8",2018,"emergency","cost","changing",100,16735761400,2.10944864985953
"9",2018,"emergency","cost","log",100,16735761400,2.10944864985953
"10",2018,"gp","cost","constant",100,10540893671,2.10944864985953
"11",2018,"gp","cost","changing",100,10540893671,2.10944864985953
"12",2018,"gp","cost","log",100,10540893671,2.10944864985953
"13",2018,"op","cost","constant",100,14139756885,2.10944864985953
"14",2018,"op","cost","changing",100,14139756885,2.10944864985953
"15",2018,"op","cost","log",100,14139756885,2.10944864985953
"16",2019,"ae","cost","constant",100.8924564,3511161918,2.36101081382487
"17",2019,"ae","cost","changing",105.3612404,3511161918,2.36101081382487
"18",2019,"ae","cost","log",102.6042415,3511161918,2.36101081382487
"19",2019,"elective","cost","constant",101.7802988,10363552520,2.36101081382487
"20",2019,"elective","cost","changing",102.22076,10363552520,2.36101081382487
"21",2019,"elective","cost","log",101.2900323,10363552520,2.36101081382487
"22",2019,"emergency","cost","constant",102.0128678,16735761400,2.36101081382487
"23",2019,"emergency","cost","changing",104.720502,16735761400,2.36101081382487
"24",2019,"emergency","cost","log",102.9144971,16735761400,2.36101081382487
"25",2019,"gp","cost","constant",101.5320119,10540893671,2.36101081382487
"26",2019,"gp","cost","changing",99.00023723,10540893671,2.36101081382487
"27",2019,"gp","cost","log",100.5722197,10540893671,2.36101081382487
"28",2019,"op","cost","constant",101.6575203,14139756885,2.36101081382487
"29",2019,"op","cost","changing",105.2843166,14139756885,2.36101081382487
"30",2019,"op","cost","log",102.6145557,14139756885,2.36101081382487
"31",2020,"ae","cost","constant",101.520528,3511161918,5.44550974003141
"32",2020,"ae","cost","changing",110.7233628,3511161918,5.44550974003141
"33",2020,"ae","cost","log",104.8293359,3511161918,5.44550974003141
"34",2020,"elective","cost","constant",103.8478447,10363552520,5.44550974003141
"35",2020,"elective","cost","changing",104.408931,10363552520,5.44550974003141
"36",2020,"elective","cost","log",102.5165059,10363552520,5.44550974003141
"37",2020,"emergency","cost","constant",104.1099557,16735761400,5.44550974003141
"38",2020,"emergency","cost","changing",109.6750706,16735761400,5.44550974003141
"39",2020,"emergency","cost","log",105.5214205,16735761400,5.44550974003141
"40",2020,"gp","cost","constant",102.7048058,10540893671,5.44550974003141
"41",2020,"gp","cost","changing",97.65646248,10540893671,5.44550974003141
"42",2020,"gp","cost","log",100.8484015,10540893671,5.44550974003141
"43",2020,"op","cost","constant",103.3365667,14139756885,5.44550974003141
"44",2020,"op","cost","changing",110.6628648,14139756885,5.44550974003141
"45",2020,"op","cost","log",104.9795897,14139756885,5.44550974003141
"46",2021,"ae","cost","constant",102.5854564,3511161918,-0.819269506744494
"47",2021,"ae","cost","changing",116.8725324,3511161918,-0.819269506744494
"48",2021,"ae","cost","log",107.4246789,3511161918,-0.819269506744494
"49",2021,"elective","cost","constant",107.7948304,10363552520,-0.819269506744494
"50",2021,"elective","cost","changing",107.7010602,10363552520,-0.819269506744494
"51",2021,"elective","cost","log",104.7911027,10363552520,-0.819269506744494
"52",2021,"emergency","cost","constant",106.7326932,16735761400,-0.819269506744494
"53",2021,"emergency","cost","changing",115.4599625,16735761400,-0.819269506744494
"54",2021,"emergency","cost","log",108.7861632,16735761400,-0.819269506744494
"55",2021,"gp","cost","constant",104.4141575,10540893671,-0.819269506744494
"56",2021,"gp","cost","changing",96.80146019,10540893671,-0.819269506744494
"57",2021,"gp","cost","log",101.6734589,10540893671,-0.819269506744494
"58",2021,"op","cost","constant",106.1238894,14139756885,-0.819269506744494
"59",2021,"op","cost","changing",117.2446047,14139756885,-0.819269506744494
"60",2021,"op","cost","log",108.1373282,14139756885,-0.819269506744494
"61",2022,"ae","cost","constant",103.9608757,3511161918,6.73691378752737
"62",2022,"ae","cost","changing",123.6861578,3511161918,6.73691378752737
"63",2022,"ae","cost","log",110.2566011,3511161918,6.73691378752737
"64",2022,"elective","cost","constant",110.3555055,10363552520,6.73691378752737
"65",2022,"elective","cost","changing",110.3765376,10363552520,6.73691378752737
"66",2022,"elective","cost","log",106.4455415,10363552520,6.73691378752737
"67",2022,"emergency","cost","constant",109.2174093,16735761400,6.73691378752737
"68",2022,"emergency","cost","changing",121.2281833,16735761400,6.73691378752737
"69",2022,"emergency","cost","log",111.885041,16735761400,6.73691378752737
"70",2022,"gp","cost","constant",106.1183337,10540893671,6.73691378752737
"71",2022,"gp","cost","changing",95.95282469,10540893671,6.73691378752737
"72",2022,"gp","cost","log",102.5469717,10540893671,6.73691378752737
"73",2022,"op","cost","constant",108.2882831,14139756885,6.73691378752737
"74",2022,"op","cost","changing",123.7855669,14139756885,6.73691378752737
"75",2022,"op","cost","log",110.8964715,14139756885,6.73691378752737
"76",2023,"ae","cost","constant",103.2720083,3511161918,6.54439095141102
"77",2023,"ae","cost","changing",128.3549877,3511161918,6.54439095141102
"78",2023,"ae","cost","log",110.8023219,3511161918,6.54439095141102
"79",2023,"elective","cost","constant",111.9457519,10363552520,6.54439095141102
"80",2023,"elective","cost","changing",112.1914185,10363552520,6.54439095141102
"81",2023,"elective","cost","log",107.2657099,10363552520,6.54439095141102
"82",2023,"emergency","cost","constant",110.8857556,16735761400,6.54439095141102
"83",2023,"emergency","cost","changing",126.3526188,16735761400,6.54439095141102
"84",2023,"emergency","cost","log",114.1110577,16735761400,6.54439095141102
"85",2023,"gp","cost","constant",106.6597348,10540893671,6.54439095141102
"86",2023,"gp","cost","changing",93.96566615,10540893671,6.54439095141102
"87",2023,"gp","cost","log",102.2374643,10540893671,6.54439095141102
"88",2023,"op","cost","constant",109.3636125,14139756885,6.54439095141102
"89",2023,"op","cost","changing",129.223458,14139756885,6.54439095141102
"90",2023,"op","cost","log",112.3619537,14139756885,6.54439095141102
"91",2024,"ae","cost","constant",104.5252876,3511161918,0.803844991272706
"92",2024,"ae","cost","changing",135.667188,3511161918,0.803844991272706
"93",2024,"ae","cost","log",113.3636116,3511161918,0.803844991272706
"94",2024,"elective","cost","constant",114.3868582,10363552520,0.803844991272706
"95",2024,"elective","cost","changing",114.7298074,10363552520,0.803844991272706
"96",2024,"elective","cost","log",108.7156309,10363552520,0.803844991272706
"97",2024,"emergency","cost","constant",112.9940017,16735761400,0.803844991272706
"98",2024,"emergency","cost","changing",132.1523902,16735761400,0.803844991272706
"99",2024,"emergency","cost","log",117.0939022,16735761400,0.803844991272706
"100",2024,"gp","cost","constant",108.2708158,10540893671,0.803844991272706
"101",2024,"gp","cost","changing",93.05046068,10540893671,0.803844991272706
"102",2024,"gp","cost","log",103.0899115,10540893671,0.803844991272706
"103",2024,"op","cost","constant",111.3956151,14139756885,0.803844991272706
"104",2024,"op","cost","changing",136.2409332,14139756885,0.803844991272706
"105",2024,"op","cost","log",114.8969493,14139756885,0.803844991272706
"106",2025,"ae","cost","constant",105.7621858,3511161918,1.34817091043564
"107",2025,"ae","cost","changing",143.3532993,3511161918,1.34817091043564
"108",2025,"ae","cost","log",115.862051,3511161918,1.34817091043564
"109",2025,"elective","cost","constant",116.7425007,10363552520,1.34817091043564
"110",2025,"elective","cost","changing",117.2831267,10363552520,1.34817091043564
"111",2025,"elective","cost","log",110.0617316,10363552520,1.34817091043564
"112",2025,"emergency","cost","constant",115.4358228,16735761400,1.34817091043564
"113",2025,"emergency","cost","changing",138.5491158,16735761400,1.34817091043564
"114",2025,"emergency","cost","log",119.9767408,16735761400,1.34817091043564
"115",2025,"gp","cost","constant",109.8384747,10540893671,1.34817091043564
"116",2025,"gp","cost","changing",92.075711,10540893671,1.34817091043564
"117",2025,"gp","cost","log",103.9019079,10540893671,1.34817091043564
"118",2025,"op","cost","constant",113.4203054,14139756885,1.34817091043564
"119",2025,"op","cost","changing",143.5528022,14139756885,1.34817091043564
"120",2025,"op","cost","log",117.3471061,14139756885,1.34817091043564
"121",2026,"ae","cost","constant",106.9359214,3511161918,1.74352257398045
"122",2026,"ae","cost","changing",151.3656382,3511161918,1.74352257398045
"123",2026,"ae","cost","log",118.2517246,3511161918,1.74352257398045
"124",2026,"elective","cost","constant",118.793551,10363552520,1.74352257398045
"125",2026,"elective","cost","changing",119.7270502,10363552520,1.74352257398045
"126",2026,"elective","cost","log",111.3560373,10363552520,1.74352257398045
"127",2026,"emergency","cost","constant",117.6962095,16735761400,1.74352257398045
"128",2026,"emergency","cost","changing",144.9673195,16735761400,1.74352257398045
"129",2026,"emergency","cost","log",122.7359734,16735761400,1.74352257398045
"130",2026,"gp","cost","constant",111.3446813,10540893671,1.74352257398045
"131",2026,"gp","cost","changing",91.05348246,10540893671,1.74352257398045
"132",2026,"gp","cost","log",104.6800097,10540893671,1.74352257398045
"133",2026,"op","cost","constant",115.342877,14139756885,1.74352257398045
"134",2026,"op","cost","changing",151.1296871,14139756885,1.74352257398045
"135",2026,"op","cost","log",119.6857225,14139756885,1.74352257398045
"136",2027,"ae","cost","constant",108.125291,3511161918,1.87290800966897
"137",2027,"ae","cost","changing",159.8325289,3511161918,1.87290800966897
"138",2027,"ae","cost","log",120.6168166,3511161918,1.87290800966897
"139",2027,"elective","cost","constant",120.5366448,10363552520,1.87290800966897
