"","fyear","metric","index","values"
"1","2018","pop",100,55924.528
"2","2019","pop",100.54632200025,56230.056
"3","2020","pop",100.717812048409,56325.961
"4","2021","pop",101.127167313777,56554.891
"5","2022","pop",102.113330308304,57106.398
"6","2023","pop",103.174011589333,57699.579
"7","2024","pop",104.238798403448,58295.056
"8","2025","pop",105.196980831023,58830.915
"9","2026","pop",106.03981315676,59302.265
"10","2027","pop",106.763434820585,59706.947
"11","2028","pop",107.36588067404,60043.862
"12","2029","pop",107.954794003805,60373.209
"13","2030","pop",108.530217724859,60695.012
"14","2031","pop",109.092103557852,61009.244
"15","2032","pop",109.641130989966,61316.285
"16","2033","pop",110.177473469244,61616.232
"17","2034","pop",110.701513654259,61909.299
"18","2035","pop",111.214156335839,62195.992
"19","2036","pop",111.718090852729,62477.815
"20","2037","pop",112.216367744758,62756.474
"21","2038","pop",112.710219029475,63032.658
"22","2039","pop",113.200511947101,63306.852
"23","2040","pop",113.687736443658,63579.33
