"","fyear","deflator","index_deflator"
"1","2018",2.10944864985953,1.0210944864986
"2","2019",2.36101081382487,1.0452026377442
"3","2020",5.44550974003141,1.10211924918562
"4","2021",-0.819269506744494,1.09308992224908
"5","2022",6.73691378752737,1.16673044793115
"6","2023",6.54439095141102,1.24308584979292
"7","2024",0.803844991272706,1.2530783331337
"8","2025",1.34817091043564,1.26997197070598
"9","2026",1.74352257398045,1.29211421869846
"10","2027",1.87290800966897,1.31631432939454
"11","2028",1.9327437807694,1.34175531273129
"12","2029",2.3,1.3726156849241
"13","2030",2.3,1.40418584567736
"14","2031",2.3,1.43648212012794
"15","2032",2.3,1.46952120889088
"16","2033",2.3,1.50332019669537
"17","2034",2.3,1.53789656121936
"18","2035",2.3,1.57326818212741
"19","2036",2.3,1.60945335031634
"20","2037",2.3,1.64647077737362
"21","2038",2.3,1.68433960525321
"22","2039",2.3,1.72307941617403
"23","2040",2.3,1.76271024274603
"24","2041",2.3,1.80325257832919
"25","2042",2.3,1.84472738763076
"26","2043",2.3,1.88715611754627
"27","2044",2.3,1.93056070824984
"28","2045",2.3,1.97496360453958
"29","2046",2.3,2.02038776744399
"30","2047",2.3,2.0668566860952
"31","2048",2.3,2.11439438987539
"32","2049",2.3,2.16302546084253
"33","2050",2.3,2.2127750464419
"34","2051",2.3,2.26366887251007
"35","2052",2.3,2.3157332565778
"36","2053",2.3,2.36899512147909
"37","2054",2.3,2.42348200927311
"38","2055",2.3,2.47922209548639
"39","2056",2.3,2.53624420368258
"40","2057",2.3,2.59457782036728
"41","2058",2.3,2.65425311023572
"42","2059",2.3,2.71530093177114
"43","2060",2.3,2.77775285320188
"44","2061",2.3,2.84164116882552
"45","2062",2.3,2.90699891570851
"46","2063",2.3,2.9738598907698
"47","2064",2.3,3.04225866825751
"48","2065",2.3,3.11223061762743
"49","2066",2.3,3.18381192183286
"50","2067",2.3,3.25703959603502
"51","2068",2.3,3.33195150674382
"52","2069",2.3,3.40858639139893
"53","2070",2.3,3.48698387840111
"54","2071",2.3,3.56718450760433
"55","2072",2.3,3.64922975127923
