"","fyear","final_value","index","values","budget_index"
"1",2018,1.14331e+11,100,1,1
"2",2019,119962090172.14,100.54632200025,1,1.04925252269411
"3",2020,123187147786.843,100.717812048409,1,1.07746059937238
"4",2021,127025460302.512,101.127167313777,1,1.11103253100657
"5",2022,130671074665.816,102.113330308304,1,1.14291902166356
"6",2023,134491289080.036,103.174011589333,1,1.17633265763473
"7",2024,138757818330.241,104.238798403448,1,1.21365000157649
"8",2025,142931938583.34,105.196980831023,1,1.25015908706597
"9",2026,147159931610.19,106.03981315676,1,1.28713937261276
"10",2027,151623902075.42,106.763434820585,1,1.32618364289143
"11",2028,156262827523.412,107.36588067404,1,1.36675816290781
"12",2029,161022558154.597,107.954794003805,1,1.4083893095888
"13",2030,165594213277.051,108.530217724859,1,1.44837544740317
"14",2031,170023281555.605,109.092103557852,1,1.4871144445129
"15",2032,174963455973.613,109.641130989966,1,1.53032384894397
"16",2033,180240832957.543,110.177473469244,1,1.57648260714542
"17",2034,185173581765.277,110.701513654259,1,1.61962706322237
"18",2035,190259727320.197,111.214156335839,1,1.66411320919258
