"","Year","NQA_prod","cagr","cagr_all"
"1","1995/96",100,NA,NA
"2","1996/97",99.4,NA,NA
"3","1997/98",100.4,NA,NA
"4","1998/99",100.3,NA,NA
"5","1999/00",100.9,NA,NA
"6","2000/01",101.4,NA,NA
"7","2001/02",104.2,NA,NA
"8","2002/03",100.1,NA,NA
"9","2003/04",102.5,NA,NA
"10","2004/05",102.9,NA,NA
"11","2005/06",104.8,0.469936613874111,NA
"12","2006/07",106.7,0.711207599958352,NA
"13","2007/08",106.7,0.610445179020269,NA
"14","2008/09",106,0.554264384135883,NA
"15","2009/10",103.2,0.225643449402901,NA
"16","2010/11",104.3,0.282380653693526,NA
"17","2011/12",106,0.171416398157098,NA
"18","2012/13",108.2,0.781151997040985,NA
"19","2013/14",111.9,0.881288851654793,NA
"20","2014/15",112.9,0.931762411534698,NA
"21","2015/16",112.4,0.702558096549843,NA
"22","2016/17",114.4,0.699232500491354,NA
"23","2017/18",115.2,0.769430922297953,NA
"24","2018/19",114.1,0.73907943666458,0.575147969465983
