"","fyear","real_gdp","real_receipts"
"1",2018,2205.3,990.1610863
"2",2019,2224.4,984.7496753
"3",2020,1966.2,894.0192933
"4",2021,2234.3,1047.124919
"5",2022,2272.8,1096.054114
"6",2023,2277.3,1102.18898
"7",2024,2303.8,1130.037872
"8",2025,2348.2,1149.316825
"9",2026,2394.8,1175.239935
"10",2027,2437.5,1201.708547
"11",2028,2478.6,1225.009897
"12",2029,2523.2148,1219.614236
"13",2030,2571.155881,1239.568531
"14",2031,2617.436687,1259.152721
"15",2032,2664.550547,1278.654926
"16",2033,2712.512457,1301.428655
"17",2034,2761.337682,1320.946104
"18",2035,2808.280422,1343.901171
"19",2036,2861.63775,1365.56801
"20",2037,2913.14723,1387.202249
"21",2038,2965.58388,1412.177162
"22",2039,3018.96439,1433.530101
"23",2040,3070.286784,1458.31535
